unique_id,file_name,page_sequence,page_label,title,authors,date,place,shelfmark,source_library,colenda_url,language,subjects
TDK_P001,Markham_Machin_The_Dumbe_Knight_p. 1.jpg,P001,1,The dumbe knight : an historicall comedy acted sundry times by the Children of his Maiesties Revells,"Gervase Markham, Lewis Machin",1633,"London, England",PR2659.M3 A7 1633,"Kislak Center for Special Collections, Rare Books and Manuscripts, Forrest Collection, PR2659.M3 A7 1633; Kislak Center for Special Collections, Rare Books and Manuscripts, Rare Book Collection, PR2659.M3 A7 1633",https://colenda.library.upenn.edu/catalog/81431-p3jh3dk0v,English,historical comedy
TDK_P002,Markham_Machin_The_Dumbe_Knight_p. 2.jpg,P002,2,The dumbe knight : an historicall comedy acted sundry times by the Children of his Maiesties Revells,"Gervase Markham, Lewis Machin",1633,"London, England",PR2659.M3 A7 1634,"Kislak Center for Special Collections, Rare Books and Manuscripts, Forrest Collection, PR2659.M3 A7 1633; Kislak Center for Special Collections, Rare Books and Manuscripts, Rare Book Collection, PR2659.M3 A7 1634",https://colenda.library.upenn.edu/catalog/81431-p3jh3dk0v,English,historical comedy
TDK_P003,Markham_Machin_The_Dumbe_Knight_p. 3.jpg,P003,3,The dumbe knight : an historicall comedy acted sundry times by the Children of his Maiesties Revells,"Gervase Markham, Lewis Machin",1633,"London, England",PR2659.M3 A7 1635,"Kislak Center for Special Collections, Rare Books and Manuscripts, Forrest Collection, PR2659.M3 A7 1633; Kislak Center for Special Collections, Rare Books and Manuscripts, Rare Book Collection, PR2659.M3 A7 1635",https://colenda.library.upenn.edu/catalog/81431-p3jh3dk0v,English,historical comedy
TDK_P004,Markham_Machin_The_Dumbe_Knight_p. 4.jpg,P004,4,The dumbe knight : an historicall comedy acted sundry times by the Children of his Maiesties Revells,"Gervase Markham, Lewis Machin",1633,"London, England",PR2659.M3 A7 1636,"Kislak Center for Special Collections, Rare Books and Manuscripts, Forrest Collection, PR2659.M3 A7 1633; Kislak Center for Special Collections, Rare Books and Manuscripts, Rare Book Collection, PR2659.M3 A7 1636",https://colenda.library.upenn.edu/catalog/81431-p3jh3dk0v,English,historical comedy
TDK_P005,Markham_Machin_The_Dumbe_Knight_p. 5.jpg,P005,5,The dumbe knight : an historicall comedy acted sundry times by the Children of his Maiesties Revells,"Gervase Markham, Lewis Machin",1633,"London, England",PR2659.M3 A7 1637,"Kislak Center for Special Collections, Rare Books and Manuscripts, Forrest Collection, PR2659.M3 A7 1633; Kislak Center for Special Collections, Rare Books and Manuscripts, Rare Book Collection, PR2659.M3 A7 1637",https://colenda.library.upenn.edu/catalog/81431-p3jh3dk0v,English,historical comedy
TDK_P006,Markham_Machin_The_Dumbe_Knight_p. 6.jpg,P006,6,The dumbe knight : an historicall comedy acted sundry times by the Children of his Maiesties Revells,"Gervase Markham, Lewis Machin",1633,"London, England",PR2659.M3 A7 1638,"Kislak Center for Special Collections, Rare Books and Manuscripts, Forrest Collection, PR2659.M3 A7 1633; Kislak Center for Special Collections, Rare Books and Manuscripts, Rare Book Collection, PR2659.M3 A7 1638",https://colenda.library.upenn.edu/catalog/81431-p3jh3dk0v,English,historical comedy
TDK_P007,Markham_Machin_The_Dumbe_Knight_p. 7.jpg,P007,7,The dumbe knight : an historicall comedy acted sundry times by the Children of his Maiesties Revells,"Gervase Markham, Lewis Machin",1633,"London, England",PR2659.M3 A7 1639,"Kislak Center for Special Collections, Rare Books and Manuscripts, Forrest Collection, PR2659.M3 A7 1633; Kislak Center for Special Collections, Rare Books and Manuscripts, Rare Book Collection, PR2659.M3 A7 1639",https://colenda.library.upenn.edu/catalog/81431-p3jh3dk0v,English,historical comedy
TDK_P008,Markham_Machin_The_Dumbe_Knight_p. 8.jpg,P008,8,The dumbe knight : an historicall comedy acted sundry times by the Children of his Maiesties Revells,"Gervase Markham, Lewis Machin",1633,"London, England",PR2659.M3 A7 1640,"Kislak Center for Special Collections, Rare Books and Manuscripts, Forrest Collection, PR2659.M3 A7 1633; Kislak Center for Special Collections, Rare Books and Manuscripts, Rare Book Collection, PR2659.M3 A7 1640",https://colenda.library.upenn.edu/catalog/81431-p3jh3dk0v,English,historical comedy
TDK_P009,Markham_Machin_The_Dumbe_Knight_p. 9.jpg,P009,9,The dumbe knight : an historicall comedy acted sundry times by the Children of his Maiesties Revells,"Gervase Markham, Lewis Machin",1633,"London, England",PR2659.M3 A7 1641,"Kislak Center for Special Collections, Rare Books and Manuscripts, Forrest Collection, PR2659.M3 A7 1633; Kislak Center for Special Collections, Rare Books and Manuscripts, Rare Book Collection, PR2659.M3 A7 1641",https://colenda.library.upenn.edu/catalog/81431-p3jh3dk0v,English,historical comedy
TDK_P010,Markham_Machin_The_Dumbe_Knight_p. 10.jpg,P010,10,The dumbe knight : an historicall comedy acted sundry times by the Children of his Maiesties Revells,"Gervase Markham, Lewis Machin",1633,"London, England",PR2659.M3 A7 1642,"Kislak Center for Special Collections, Rare Books and Manuscripts, Forrest Collection, PR2659.M3 A7 1633; Kislak Center for Special Collections, Rare Books and Manuscripts, Rare Book Collection, PR2659.M3 A7 1642",https://colenda.library.upenn.edu/catalog/81431-p3jh3dk0v,English,historical comedy
